Province,District,Candidate no.,Party,Votes
Bangkok Metropolis,2,8,Prachachat Party,166
Bangkok Metropolis,2,11,Chart Thai Pattana,162
Bangkok Metropolis,2,31,Thai Local Power Party,103
Bangkok Metropolis,2,9,Democratic Force party,102
Bangkok Metropolis,2,23,Palang Chart Thai,86
Bangkok Metropolis,2,22,People Vote Party,55
Bangkok Metropolis,2,21,Pandintham,51
Bangkok Metropolis,2,24,Prashaniyom,49
Bangkok Metropolis,2,30,Commoners' Party,47
Bangkok Metropolis,2,25,Palang Sungkom,41
Bangkok Metropolis,2,20,Kru Thai,40
Bangkok Metropolis,2,16,Tin Ga Kaw,38
Bangkok Metropolis,2,15,People Progressive party,36
Bangkok Metropolis,2,26,Glang,34
Bangkok Metropolis,2,29,Mahachon Party,27
Bangkok Metropolis,2,27,Thai Network Party,23
Bangkok Metropolis,2,28,Prachatham Thai,23
Bangkok Metropolis,2,17,Paradonraphab Party,19
Bangkok Metropolis,2,10,Thai Raksa Chart,0
Bangkok Metropolis,2,14,Puea Pandin Party,0
Bangkok Metropolis,3,14,Future Forward Party,28444
Bangkok Metropolis,3,3,Palang Pracharath Party,25148
Bangkok Metropolis,3,13,Democrat Party,17029
Bangkok Metropolis,3,20,New Economics Party,5788
Bangkok Metropolis,3,11,Thai Liberal Party,3832
Bangkok Metropolis,3,10,Puea Chat party,1209
Bangkok Metropolis,3,12,Bhumjaithai Party,1082
Bangkok Metropolis,3,5,Action Coalition for Thailand,546
Bangkok Metropolis,3,15,Chart Pattana,369
Bangkok Metropolis,3,4,People's Reform,350
Bangkok Metropolis,3,6,Thai Local Power Party,284
Bangkok Metropolis,3,19,Thai Forest Conservation Party,247
Bangkok Metropolis,3,8,Prachachat Party,235
Bangkok Metropolis,3,9,Chart Thai Pattana,208
Bangkok Metropolis,3,2,People Progressive party,186
Bangkok Metropolis,3,18,Thai Civilised,183
Bangkok Metropolis,3,23,Palang Thai Rak Chart,147
Bangkok Metropolis,3,21,Kru Thai,142
Bangkok Metropolis,3,22,Palang Chart Thai,129
Bangkok Metropolis,3,7,New Palangdharma Party,102
Bangkok Metropolis,3,26,New Democracy Party,101
Bangkok Metropolis,3,16,Prashaniyom,40
Bangkok Metropolis,3,17,Paradonraphab Party,36
Bangkok Metropolis,3,25,Palang Thai Sang Chart,34
Bangkok Metropolis,3,31,Pandintham,34
Bangkok Metropolis,3,28,Power of Faith party,32
Bangkok Metropolis,3,24,Palang Sungkom,29
Bangkok Metropolis,3,33,Thai Rak Tham,28
Bangkok Metropolis,3,29,Mahachon Party,27
Bangkok Metropolis,3,30,Prachatham Thai,25
Bangkok Metropolis,3,32,Thai Network Party,12
Bangkok Metropolis,3,27,People Vote Party,9
Bangkok Metropolis,3,1,Thai Raksa Chart,0
Bangkok Metropolis,4,6,Palang Pracharath Party,27620
Bangkok Metropolis,4,2,Future Forward Party,25588
Bangkok Metropolis,4,11,Democrat Party,13890
Bangkok Metropolis,4,21,New Economics Party,4408
Bangkok Metropolis,4,1,Puea Chat party,3424
Bangkok Metropolis,4,3,Thai Liberal Party,3199
Bangkok Metropolis,4,5,Bhumjaithai Party,898
Bangkok Metropolis,4,4,Action Coalition for Thailand,712
Bangkok Metropolis,4,8,Prachachat Party,420
Bangkok Metropolis,4,17,Thai Local Power Party,395
Bangkok Metropolis,4,7,Chart Pattana,269
Bangkok Metropolis,4,16,Thai Forest Conservation Party,269
Bangkok Metropolis,4,14,Chart Thai Pattana,202
Bangkok Metropolis,4,12,People's Reform,179
Bangkok Metropolis,4,10,Thai Civilised,165
Bangkok Metropolis,4,28,Palang Thai Sang Chart,124
Bangkok Metropolis,4,22,Thai Citizen,75
Bangkok Metropolis,4,24,New Democracy Party,74
Bangkok Metropolis,4,26,People Vote Party,71
Bangkok Metropolis,4,20,Palang Chart Thai,64
Bangkok Metropolis,4,13,Mahachon Party,62
Bangkok Metropolis,4,19,Prashaniyom,51
