Province,District,Candidate no.,Party,Votes
Chiang Rai,2,30,Thai Ethnic party,802
Chiang Rai,2,11,Paradonraphab Party,618
Chiang Rai,2,7,Palang Chart Thai,602
Chiang Rai,2,15,Prachachat Party,592
Chiang Rai,2,9,Thai Forest Conservation Party,590
Chiang Rai,2,24,Polamuang Thai,572
Chiang Rai,2,12,Thai Local Power Party,514
Chiang Rai,2,3,Chart Pattana,387
Chiang Rai,2,5,New Palangdharma Party,379
Chiang Rai,2,21,Chart Thai Pattana,350
Chiang Rai,2,22,Mahachon Party,292
Chiang Rai,2,14,People Progressive party,253
Chiang Rai,2,18,Kru Thai,245
Chiang Rai,2,19,Palang Thai Rak Thai,244
Chiang Rai,2,8,Prashaniyom,229
Chiang Rai,2,16,Puea Pandin Party,228
Chiang Rai,2,29,Commoners' Party,213
Chiang Rai,2,20,Bhumjaithai Party,183
Chiang Rai,2,27,Palang Kru Thai,182
Chiang Rai,2,31,Pandintham,161
Chiang Rai,2,23,Prachatham Thai,142
Chiang Rai,2,33,Democratic Force party,127
Chiang Rai,2,25,People's Reform,115
Chiang Rai,2,17,Action Coalition for Thailand,102
Chiang Rai,2,35,Thaen Khun Phaendin,98
Chiang Rai,2,34,Thai Rak Tham,72
Chiang Rai,2,28,Than Rak Thai,55
Chiang Rai,2,32,Tin Ga Kaw,49
Chiang Rai,3,12,Pheu Thai,53202
Chiang Rai,3,4,Future Forward Party,25397
Chiang Rai,3,1,Palang Pracharath Party,17647
Chiang Rai,3,8,Puea Chat party,4521
Chiang Rai,3,16,Democrat Party,2244
Chiang Rai,3,11,Thai Liberal Party,2019
Chiang Rai,3,27,New Economics Party,994
Chiang Rai,3,21,New Democracy Party,749
Chiang Rai,3,32,Tin Ga Kaw,530
Chiang Rai,3,26,Polamuang Thai,509
Chiang Rai,3,10,Thai Forest Conservation Party,459
Chiang Rai,3,2,People Progressive party,400
Chiang Rai,3,5,Thai Local Power Party,345
Chiang Rai,3,20,Palang Thai Rak Thai,309
Chiang Rai,3,13,New Palangdharma Party,283
Chiang Rai,3,3,Paradonraphab Party,236
Chiang Rai,3,22,Chart Thai Pattana,233
Chiang Rai,3,14,Palang Chart Thai,217
Chiang Rai,3,9,Action Coalition for Thailand,212
Chiang Rai,3,6,Chart Pattana,194
Chiang Rai,3,7,Puea Pandin Party,192
Chiang Rai,3,28,Palang Kru Thai,187
Chiang Rai,3,18,Bhumjaithai Party,176
Chiang Rai,3,24,Prachatham Thai,152
Chiang Rai,3,31,Thai Ethnic party,142
Chiang Rai,3,34,Thaen Khun Phaendin,115
Chiang Rai,3,25,Than Rak Thai,97
Chiang Rai,3,15,Prashaniyom,77
Chiang Rai,3,17,Kru Thai,71
Chiang Rai,3,23,Mahachon Party,62
Chiang Rai,3,19,People's Reform,53
Chiang Rai,3,33,Thai Rak Tham,43
Chiang Rai,3,29,Thai People Power Party,40
Chiang Rai,3,30,Thai Citizen,38
Chiang Rai,4,9,Pheu Thai,62026
Chiang Rai,4,1,Future Forward Party,24897
Chiang Rai,4,2,Palang Pracharath Party,14024
Chiang Rai,4,12,Democrat Party,2188
Chiang Rai,4,10,Thai Liberal Party,1378
Chiang Rai,4,29,Commoners' Party,898
Chiang Rai,4,5,Puea Chat party,805
Chiang Rai,4,16,Action Coalition for Thailand,563
Chiang Rai,4,22,Thai People Power Party,487
Chiang Rai,4,8,People Progressive party,483
Chiang Rai,4,26,New Economics Party,474
Chiang Rai,4,24,Polamuang Thai,452
Chiang Rai,4,4,Prachachat Party,361
Chiang Rai,4,6,Thai Local Power Party,358
Chiang Rai,4,3,Palang Chart Thai,289
Chiang Rai,4,19,Palang Thai Rak Thai,266
Chiang Rai,4,13,Paradonraphab Party,259
Chiang Rai,4,28,Palang Kru Thai,233
Chiang Rai,4,11,Thai Forest Conservation Party,209
Chiang Rai,4,7,Chart Pattana,195
Chiang Rai,4,27,Kru Thai,165
Chiang Rai,4,33,Thai Rak Tham,119
Chiang Rai,4,17,Bhumjaithai Party,95
Chiang Rai,4,15,Prashaniyom,89
Chiang Rai,4,30,Thai Ethnic party,83
Chiang Rai,4,23,Prachatham Thai,75
Chiang Rai,4,32,Democratic Force party,73
Chiang Rai,4,25,People's Reform,66
Chiang Rai,4,20,Mahachon Party,64
Chiang Rai,4,18,Chart Thai Pattana,53
Chiang Rai,4,14,New Palangdharma Party,47
Chiang Rai,4,31,Tin Ga Kaw,33
Chiang Rai,4,21,Thai Citizen,0
Chiang Rai,4,34,Thaen Khun Phaendin,0
Chiang Rai,5,9,Pheu Thai,40972
Chiang Rai,5,5,Future Forward Party,20736
Chiang Rai,5,7,Palang Pracharath Party,15954
Chiang Rai,5,4,Democrat Party,5261
Chiang Rai,5,10,Polamuang Thai,2646
Chiang Rai,5,15,Puea Chat party,2460
Chiang Rai,5,1,Thai Liberal Party,1596
Chiang Rai,5,8,Paradonraphab Party,1261
Chiang Rai,5,16,Prachachat Party,1011
Chiang Rai,5,29,Thai Ethnic party,723
Chiang Rai,5,27,Bhumjaithai Party,572
Chiang Rai,5,24,Thai People Power Party,544
Chiang Rai,5,31,New Economics Party,510
Chiang Rai,5,13,Thai Local Power Party,503
Chiang Rai,5,14,Thai Forest Conservation Party,489
Chiang Rai,5,6,Rak Tham,446
Chiang Rai,5,11,Chart Pattana,305
Chiang Rai,5,21,Palang Thai Rak Thai,286
Chiang Rai,5,18,Palang Chart Thai,213
Chiang Rai,5,20,Chart Thai Pattana,210
Chiang Rai,5,17,Prashaniyom,197
Chiang Rai,5,25,Prachatham Thai,189
Chiang Rai,5,2,People Progressive party,165
Chiang Rai,5,3,New Palangdharma Party,145
Chiang Rai,5,12,Kru Thai,144
Chiang Rai,5,34,Palang Pandin Tong ,141
Chiang Rai,5,30,Tin Ga Kaw,135
Chiang Rai,5,28,People's Reform,121
Chiang Rai,5,36,Thaen Khun Phaendin,83
Chiang Rai,5,26,Than Rak Thai,71
Chiang Rai,5,23,Palang Kru Thai,69
Chiang Rai,5,19,Action Coalition for Thailand,59
Chiang Rai,5,33,Democratic Force party,58
Chiang Rai,5,35,Thai Rak Tham,57
Chiang Rai,5,22,Mahachon Party,56
Chiang Rai,5,32,Phungluang Party,37
Chiang Rai,6,1,Future Forward Party,23273
Chiang Rai,6,12,Pheu Thai,23081
Chiang Rai,6,8,Palang Pracharath Party,16806
Chiang Rai,6,10,Puea Chat party,2732
Chiang Rai,6,11,Democrat Party,1960
Chiang Rai,6,14,Thai Liberal Party,1124
Chiang Rai,6,21,Thai People Power Party,740
Chiang Rai,6,25,New Economics Party,725
Chiang Rai,6,6,Prachachat Party,638
Chiang Rai,6,9,Thai Forest Conservation Party,399
Chiang Rai,6,28,Puea Pandin Party,393
Chiang Rai,6,2,Chart Pattana,315
Chiang Rai,6,7,Paradonraphab Party,307
Chiang Rai,6,24,Polamuang Thai,262
Chiang Rai,6,32,Phungluang Party,243
Chiang Rai,6,26,Palang Kru Thai,188
Chiang Rai,6,3,Palang Chart Thai,183
Chiang Rai,6,27,Kru Thai,175
Chiang Rai,6,13,New Palangdharma Party,148
Chiang Rai,6,22,Prachatham Thai,146
Chiang Rai,6,16,Bhumjaithai Party,112
Chiang Rai,6,34,Palang Thai Rak Thai,105
Chiang Rai,6,5,Thai Local Power Party,93
Chiang Rai,6,30,Pandintham,90
Chiang Rai,6,20,Thai Citizen,89
Chiang Rai,6,4,People Progressive party,87
Chiang Rai,6,15,Action Coalition for Thailand,74
Chiang Rai,6,17,Chart Thai Pattana,63
Chiang Rai,6,23,Than Rak Thai,47
Chiang Rai,6,18,Mahachon Party,45
Chiang Rai,6,31,Tin Ga Kaw,39
Chiang Rai,6,29,Thai Ethnic party,37
Chiang Rai,6,19,Prashaniyom,36
Chiang Rai,6,33,Thai Rak Tham,30
Chiang Rai,7,7,Pheu Thai,32769
Chiang Rai,7,9,Future Forward Party,19837
Chiang Rai,7,1,Palang Pracharath Party,11472
Chiang Rai,7,12,Democrat Party,2342
Chiang Rai,7,3,Thai Liberal Party,1133
Chiang Rai,7,2,Puea Chat party,1087
Chiang Rai,7,5,Thai People Power Party,1030
Chiang Rai,7,21,Polamuang Thai,799
Chiang Rai,7,8,Palang Chart Thai,555
Chiang Rai,7,27,Tin Ga Kaw,540
Chiang Rai,7,24,New Economics Party,482
Chiang Rai,7,6,Paradonraphab Party,430
Chiang Rai,7,10,Chart Pattana,319
Chiang Rai,7,4,Thai Local Power Party,266
Chiang Rai,7,11,People Progressive party,232
Chiang Rai,7,19,Kru Thai,216
Chiang Rai,7,23,Prachatham Thai,215
Chiang Rai,7,14,Thai Forest Conservation Party,190
Chiang Rai,7,30,Palang Kru Thai,173
Chiang Rai,7,22,Bhumjaithai Party,171
Chiang Rai,7,29,Thai Rak Tham,155
Chiang Rai,7,20,Mahachon Party,153
Chiang Rai,7,26,Palang Thai Rak Thai,141
Chiang Rai,7,16,Prashaniyom,110
Chiang Rai,7,18,Chart Thai Pattana,92
Chiang Rai,7,15,Puea Pandin Party,85
Chiang Rai,7,13,New Palangdharma Party,83
Chiang Rai,7,25,People's Reform,81
Chiang Rai,7,17,Action Coalition for Thailand,80
Chiang Rai,7,28,Phungluang Party,71
Chiang mai,1,6,Pheu Thai,45894
Chiang mai,1,9,Future Forward Party,45120
Chiang mai,1,16,Palang Pracharath Party,21183
Chiang mai,1,11,Democrat Party,10676
Chiang mai,1,20,New Economics Party,5373
Chiang mai,1,13,Thai Liberal Party,4148
Chiang mai,1,25,Thai Ethnic party,1610
Chiang mai,1,10,Bhumjaithai Party,957
Chiang mai,1,12,Puea Chat party,875
Chiang mai,1,1,Action Coalition for Thailand,807
Chiang mai,1,7,Thai Forest Conservation Party,687
Chiang mai,1,4,New Palangdharma Party,432
Chiang mai,1,15,Chart Thai Pattana,390
Chiang mai,1,5,Thai Civilised,341
Chiang mai,1,26,Green,336
Chiang mai,1,2,People Progressive party,219
Chiang mai,1,14,Thai Local Power Party,210
Chiang mai,1,17,Palang Chart Thai,204
Chiang mai,1,23,Chart Pattana,203
Chiang mai,1,29,Palang Thai Rak Thai,156
Chiang mai,1,8,Prashaniyom,143
Chiang mai,1,21,Thai People Power Party,126
Chiang mai,1,22,People's Reform,108
Chiang mai,1,24,Kru Thai,89
Chiang mai,1,35,Thai Rak Tham,81
Chiang mai,1,33,Prachatham Thai,72
Chiang mai,1,31,Mahachon Party,59
Chiang mai,1,19,Ruam Jai Thai,51
Chiang mai,1,18,Puea Pandin Party,45
Chiang mai,1,34,Thaen Khun Phaendin,34
Chiang mai,1,27,Thai Citizen,32
Chiang mai,1,30,Paradonraphab Party,31
Chiang mai,1,28,Farmer's Network,25
Chiang mai,1,32,Prachathai,22
Chiang mai,1,3,Prachachat Party,0
Chiang mai,2,6,Pheu Thai,50127
Chiang mai,2,2,Future Forward Party,32617
Chiang mai,2,5,Palang Pracharath Party,17022
Chiang mai,2,14,Democrat Party,4416
Chiang mai,2,4,Thai Liberal Party,2887
Chiang mai,2,7,Thai Forest Conservation Party,693
Chiang mai,2,18,Puea Chat party,670
Chiang mai,2,22,Chart Pattana,576
Chiang mai,2,8,Bhumjaithai Party,510
Chiang mai,2,26,Kru Thai,470
Chiang mai,2,1,Action Coalition for Thailand,406
Chiang mai,2,16,Chart Thai Pattana,225
Chiang mai,2,3,People Progressive party,187
Chiang mai,2,32,Palang Thai Rak Thai,184
Chiang mai,2,10,New Palangdharma Party,170
Chiang mai,2,9,Ruam Jai Thai,166
Chiang mai,2,13,Thai Local Power Party,145
Chiang mai,2,27,Thai Ethnic party,135
Chiang mai,2,19,Thai Civilised,113
Chiang mai,2,12,Pandintham,102
Chiang mai,2,15,Prashaniyom,94
Chiang mai,2,36,Thai Rak Tham,91
Chiang mai,2,21,Puea Pandin Party,80
Chiang mai,2,17,Palang Chart Thai,67
Chiang mai,2,24,Thai People Power Party,67
Chiang mai,2,20,People's Reform,58
Chiang mai,2,30,Green,55
Chiang mai,2,35,Prachatham Thai,46
Chiang mai,2,23,Paradonraphab Party,45
Chiang mai,2,29,Powerful Love Party,44
Chiang mai,2,33,Farmer's Network,31
Chiang mai,2,31,Mahachon Party,28
Chiang mai,2,11,Prachachat Party,0
Chiang mai,2,25,New Economics Party,0
Chiang mai,2,28,Thai Raksa Chart,0
Chiang mai,2,34,Palang Thai Rak Chart,0
Chiang mai,3,13,Pheu Thai,64040
Chiang mai,3,8,Future Forward Party,28624
Chiang mai,3,16,Palang Pracharath Party,12769
Chiang mai,3,14,Democrat Party,4308
Chiang mai,3,2,Thai Liberal Party,2568
Chiang mai,3,18,New Economics Party,2154
Chiang mai,3,9,Chart Pattana,1251
Chiang mai,3,12,Puea Chat party,1028
Chiang mai,3,3,Prashaniyom,494
Chiang mai,3,15,Bhumjaithai Party,487
Chiang mai,3,30,Palang Thai Rak Thai,399
Chiang mai,3,1,Thai Local Power Party,339
Chiang mai,3,5,Thai Civilised,315
Chiang mai,3,33,Thai Rak Tham,308
Chiang mai,3,7,Action Coalition for Thailand,267
Chiang mai,3,32,Prachachat Party,244
Chiang mai,3,10,Thai Forest Conservation Party,240
Chiang mai,3,4,New Palangdharma Party,201
Chiang mai,3,23,Thai Ethnic party,197
Chiang mai,3,6,Palang Chart Thai,187
Chiang mai,3,19,Pandintham,185
Chiang mai,3,11,People Progressive party,182
Chiang mai,3,31,Palang Thai Rak Chart,144
Chiang mai,3,29,Chart Thai Pattana,137
Chiang mai,3,20,Paradonraphab Party,114
Chiang mai,3,17,Puea Pandin Party,90
Chiang mai,3,34,Thaen Khun Phaendin,90
Chiang mai,3,21,People's Reform,86
Chiang mai,3,28,Farmer's Network,78
Chiang mai,3,26,Green,77
Chiang mai,3,25,Kru Thai,62
Chiang mai,3,27,Mahachon Party,35
Chiang mai,3,22,Thai People Power Party,0
Chiang mai,3,24,Thai Raksa Chart,0
Chiang mai,4,10,Pheu Thai,37454
Chiang mai,4,2,Future Forward Party,35576
Chiang mai,4,4,Palang Pracharath Party,30520
Chiang mai,4,8,Democrat Party,4918
Chiang mai,4,6,Thai Liberal Party,2948
Chiang mai,4,13,Chart Pattana,1444
Chiang mai,4,5,Bhumjaithai Party,563
Chiang mai,4,24,Thai Ethnic party,536
Chiang mai,4,21,Thai People Power Party,497
Chiang mai,4,7,Palang Chart Thai,477
Chiang mai,4,17,Puea Chat party,417
Chiang mai,4,1,People Progressive party,390
Chiang mai,4,30,Palang Thai Rak Thai,356
Chiang mai,4,9,Thai Local Power Party,333
Chiang mai,4,3,New Palangdharma Party,320
Chiang mai,4,12,Thai Forest Conservation Party,243
Chiang mai,4,15,Action Coalition for Thailand,234
Chiang mai,4,20,Chart Thai Pattana,169
Chiang mai,4,27,Farmer's Network,169
Chiang mai,4,14,Prashaniyom,159
Chiang mai,4,32,Puea Pandin Party,142
Chiang mai,4,11,Pandintham,122
Chiang mai,4,22,Paradonraphab Party,111
Chiang mai,4,35,Thaen Khun Phaendin,105
Chiang mai,4,19,Thai Civilised,98
Chiang mai,4,31,Democratic Force party,87
Chiang mai,4,18,People's Reform,86
Chiang mai,4,23,Kru Thai,86
Chiang mai,4,25,Thai Rubber Party,80
Chiang mai,4,28,Thai Citizen,77
Chiang mai,4,16,Prachachat Party,67
Chiang mai,4,26,Mahachon Party,44
Chiang mai,4,33,Thai Rak Tham,44
Chiang mai,4,34,Prachatham Thai,39
Chiang mai,4,29,New Economics Party,0
Chiang mai,5,14,Pheu Thai,41169
Chiang mai,5,17,Palang Pracharath Party,29170
Chiang mai,5,6,Future Forward Party,27940
Chiang mai,5,15,Democrat Party,4816
Chiang mai,5,8,Thai Liberal Party,2550
Chiang mai,5,5,Thai Local Power Party,1761
Chiang mai,5,23,New Economics Party,1347
Chiang mai,5,1,Puea Chat party,1292
Chiang mai,5,16,Bhumjaithai Party,931
Chiang mai,5,11,Thai Forest Conservation Party,505
Chiang mai,5,10,Prachachat Party,504
Chiang mai,5,4,Thai Civilised,499
Chiang mai,5,7,People Progressive party,482
Chiang mai,5,2,Palang Chart Thai,438
Chiang mai,5,13,People's Reform,409
Chiang mai,5,9,Chart Thai Pattana,318
Chiang mai,5,34,Thaen Khun Phaendin,318
Chiang mai,5,27,Thai Ethnic party,312
Chiang mai,5,24,Paradonraphab Party,307
Chiang mai,5,18,Palang Thai Rak Thai,299
Chiang mai,5,3,New Palangdharma Party,252
Chiang mai,5,12,Action Coalition for Thailand,245
Chiang mai,5,25,Kru Thai,231
Chiang mai,5,35,Prachatham Thai,216
Chiang mai,5,26,Thai People Power Party,187
Chiang mai,5,19,Prashaniyom,177
Chiang mai,5,21,Thai Rubber Party,167
Chiang mai,5,20,Pandintham,141
Chiang mai,5,30,Farmer's Network,133
Chiang mai,5,31,Prachathai,130
Chiang mai,5,22,Puea Pandin Party,96
Chiang mai,5,28,Thai Citizen,91
Chiang mai,5,33,Thai Rak Tham,77
Chiang mai,5,29,Mahachon Party,58
Chiang mai,5,32,Powerful Love Party,49
Chiang mai,6,1,Pheu Thai,23576
Chiang mai,6,10,Future Forward Party,17377
Chiang mai,6,5,Palang Pracharath Party,12944
Chiang mai,6,13,Democrat Party,4532
Chiang mai,6,9,Thai People Power Party,1149
Chiang mai,6,19,Thai Local Power Party,1062
Chiang mai,6,11,Thai Liberal Party,983
Chiang mai,6,21,New Economics Party,866
Chiang mai,6,2,Puea Chat party,569
Chiang mai,6,6,Chart Thai Pattana,568
Chiang mai,6,25,Kru Thai,387
Chiang mai,6,3,Thai Forest Conservation Party,333
Chiang mai,6,8,People Progressive party,280
Chiang mai,6,12,Action Coalition for Thailand,274
Chiang mai,6,4,New Palangdharma Party,273
Chiang mai,6,15,Prachachat Party,251
Chiang mai,6,14,Bhumjaithai Party,219
Chiang mai,6,16,Thai Civilised,187
Chiang mai,6,20,New Democracy Party,166
Chiang mai,6,33,Democratic Force party,161
Chiang mai,6,7,Palang Chart Thai,153
Chiang mai,6,22,Chart Pattana,151
Chiang mai,6,26,Thai Ethnic party,122
Chiang mai,6,30,Mahachon Party,117
Chiang mai,6,32,Farmer's Network,113
Chiang mai,6,36,Palang Thai Rak Thai,109
Chiang mai,6,29,Thai Citizen,77
Chiang mai,6,23,Paradonraphab Party,61
Chiang mai,6,28,Green,60
Chiang mai,6,27,Powerful Love Party,59
Chiang mai,6,31,Thai Rubber Party,58
Chiang mai,6,18,Prashaniyom,55
Chiang mai,6,17,Puea Pandin Party,49
Chiang mai,6,24,People's Reform,40
Chiang mai,6,35,Thai Rak Tham,34
Chiang mai,6,34,Thaen Khun Phaendin,28
Chiang mai,7,12,Pheu Thai,27477
Chiang mai,7,16,Future Forward Party,19729
Chiang mai,7,7,Bhumjaithai Party,18925
Chiang mai,7,17,Palang Pracharath Party,8719
Chiang mai,7,15,Democrat Party,3440
Chiang mai,7,4,Thai Liberal Party,1032
Chiang mai,7,5,People Progressive party,645
Chiang mai,7,3,Chart Pattana,633
Chiang mai,7,2,Thai Local Power Party,613
Chiang mai,7,6,New Palangdharma Party,576
Chiang mai,7,1,Thai Forest Conservation Party,537
Chiang mai,7,27,Thai Citizen,520
Chiang mai,7,8,Puea Chat party,478
Chiang mai,7,11,Chart Thai Pattana,457
Chiang mai,7,18,Thai People Power Party,332
Chiang mai,7,13,Thai Civilised,299
Chiang mai,7,21,Kru Thai,273
Chiang mai,7,14,Palang Chart Thai,269
Chiang mai,7,32,Thaen Khun Phaendin,237
Chiang mai,7,9,Action Coalition for Thailand,202
Chiang mai,7,22,Thai Ethnic party,163
Chiang mai,7,29,Palang Thai Rak Thai,144
Chiang mai,7,23,Powerful Love Party,132
Chiang mai,7,26,Mahachon Party,131
Chiang mai,7,10,Prashaniyom,130
Chiang mai,7,24,Farmer's Network,109
Chiang mai,7,25,Thai Rubber Party,99
Chiang mai,7,20,People's Reform,98
Chiang mai,7,30,Prachatham Thai,89
Chiang mai,7,19,Paradonraphab Party,72
Chiang mai,7,31,Thai Rak Tham,52
Chiang mai,7,28,New Economics Party,0
Chiang mai,8,8,Pheu Thai,52165
Chiang mai,8,4,Palang Pracharath Party,39221
Chiang mai,8,9,Future Forward Party,29556
Chiang mai,8,2,Democrat Party,2508
Chiang mai,8,1,Thai Liberal Party,1864
Chiang mai,8,29,New Economics Party,1246
Chiang mai,8,24,Powerful Love Party,868
Chiang mai,8,18,Thai People Power Party,790
Chiang mai,8,6,Bhumjaithai Party,677
Chiang mai,8,13,Prachachat Party,594
Chiang mai,8,26,Farmer's Network,581
Chiang mai,8,5,Thai Local Power Party,538
Chiang mai,8,7,Palang Chart Thai,500
Chiang mai,8,28,Thai Citizen,459
Chiang mai,8,3,Thai Forest Conservation Party,440
Chiang mai,8,14,Puea Chat party,362
Chiang mai,8,23,Green,317
Chiang mai,8,10,Action Coalition for Thailand,242
Chiang mai,8,16,Kru Thai,231
Chiang mai,8,11,New Palangdharma Party,175
Chiang mai,8,33,Palang Thai Rak Thai,139
Chiang mai,8,17,Paradonraphab Party,132
Chiang mai,8,25,Chart Thai Pattana,131
Chiang mai,8,31,Prachatham Thai,125
Chiang mai,8,12,People Progressive party,119
Chiang mai,8,21,Thai Ethnic party,106
Chiang mai,8,15,Prashaniyom,86
Chiang mai,8,22,Ruam Jai Thai,73
Chiang mai,8,32,Thai Rak Tham,57
Chiang mai,8,27,Mahachon Party,55
Chiang mai,8,20,People's Reform,54
Chiang mai,8,19,Cooperative Power Party,52
Chiang mai,8,30,Thaen Khun Phaendin,0
Chiang mai,9,9,Pheu Thai,39390
Chiang mai,9,10,Palang Pracharath Party,32532
Chiang mai,9,15,Future Forward Party,17558
Chiang mai,9,1,Democrat Party,4692
Chiang mai,9,12,People Progressive party,1574
Chiang mai,9,8,Prachachat Party,1242
Chiang mai,9,5,Bhumjaithai Party,1064
Chiang mai,9,14,Thai Liberal Party,1055
Chiang mai,9,29,Pandintham,979
Chiang mai,9,30,Palang Thai Rak Thai,946
Chiang mai,9,16,Chart Thai Pattana,852
Chiang mai,9,3,Thai Local Power Party,708
Chiang mai,9,2,New Palangdharma Party,667
Chiang mai,9,6,Palang Chart Thai,643
Chiang mai,9,4,Action Coalition for Thailand,625
Chiang mai,9,7,Thai Forest Conservation Party,481
Chiang mai,9,25,New Economics Party,452
Chiang mai,9,21,Palang Thai Di,450
Chiang mai,9,13,Thai Civilised,303
Chiang mai,9,24,Green,231
Chiang mai,9,20,People's Reform,220
Chiang mai,9,18,New Democracy Party,206
Chiang mai,9,19,Paradonraphab Party,188
Chiang mai,9,22,Kru Thai,188
Chiang mai,9,26,Mahachon Party,175
Chiang mai,9,28,Puea Pandin Party,160
Chiang mai,9,34,Thaen Khun Phaendin,157
Chiang mai,9,23,Thai Ethnic party,114
Chiang mai,9,17,Prashaniyom,111
Chiang mai,9,31,Powerful Love Party,108
Chiang mai,9,33,Thai Rak Tham,95
Chiang mai,9,27,Farmer's Network,79
Chiang mai,9,32,Prachatham Thai,74
Chiang mai,9,11,Puea Chat party,0
Trang,1,4,Palang Pracharath Party,39416
Trang,1,14,Democrat Party,38332
Trang,1,7,Future Forward Party,17371
Trang,1,16,Thai Local Power Party,10017
Trang,1,15,Thai Liberal Party,2664
Trang,1,24,New Economics Party,2491
Trang,1,1,Khlong Thai,1707
Trang,1,10,Prachachat Party,1395
Trang,1,13,Bhumjaithai Party,1380
Trang,1,11,Chart Thai Pattana,1338
Trang,1,3,New Democracy Party,958
Trang,1,9,New Alternative Party,760
Trang,1,21,Puea Chat party,706
Trang,1,5,New Palangdharma Party,690
Trang,1,22,Action Coalition for Thailand,618
Trang,1,17,Chart Pattana,594
Trang,1,18,Prashaniyom,470
Trang,1,26,Palang Chart Thai,412
Trang,1,6,Pheu Tham ,319
Trang,1,25,Thai People Power Party,303
Trang,1,35,Thai Rak Tham,303
Trang,1,30,Democratic Force party,282
Trang,1,19,Green,281
Trang,1,31,Kwam Wang Mai,281
Trang,1,8,Palang Thai Rak Thai,264
Trang,1,34,Thai Network Party,251
Trang,1,2,People's Reform,248
Trang,1,28,Palang Thai Sang Chart,226
Trang,1,23,Thai Forest Conservation Party,217
Trang,1,32,Phungluang Party,161
Trang,1,29,Polamuang Thai,149
Trang,1,27,Kru Thai,125
Trang,1,36,Prachatham Thai,105
Trang,1,33,Prachathai,78
Trang,1,20,Tin Ga Kaw,52
Trang,1,12,Thai Raksa Chart,0
Trang,2,10,Democrat Party,47640
Trang,2,2,Palang Pracharath Party,33457
Trang,2,4,Thai Local Power Party,12268
Trang,2,14,Future Forward Party,10427
Trang,2,22,Bhumjaithai Party,3468
Trang,2,11,Thai Liberal Party,2848
Trang,2,1,Prachachat Party,1113
Trang,2,3,Chart Thai Pattana,1028
Trang,2,23,New Economics Party,936
Trang,2,6,Palang Thai Rak Thai,879
Trang,2,9,Pheu Tham ,786
Trang,2,27,Palang Chart Thai,758
Trang,2,5,Chart Pattana,616
Trang,2,7,Khlong Thai,486
Trang,2,17,Puea Chat party,486
Trang,2,30,New Alternative Party,452
Trang,2,15,New Democracy Party,401
Trang,2,21,Prashaniyom,315
Trang,2,28,Democratic Force party,269
Trang,2,19,Action Coalition for Thailand,264
Trang,2,20,Green,230
Trang,2,8,New Palangdharma Party,217
Trang,2,24,Palang Thai Sang Chart,215
Trang,2,12,People's Reform,205
Trang,2,29,Polamuang Thai,157
Trang,2,16,Thai Forest Conservation Party,148
Trang,2,25,Kru Thai,119
Trang,2,36,Prachatham Thai,117
Trang,2,31,Kwam Wang Mai,84
Trang,2,35,Thai Rak Tham,79
Trang,2,26,Pandintham,71
Trang,2,32,Prachathai,49
Trang,2,18,Tin Ga Kaw,48
Trang,2,34,Thai Network Party,31
Trang,2,33,Thai People Power Party,29
Trang,2,13,Thai Raksa Chart,0
Trang,3,11,Democrat Party,51602
Trang,3,9,Palang Pracharath Party,31019
Trang,3,6,Future Forward Party,13038
Trang,3,27,Thai Local Power Party,5183
Trang,3,5,Bhumjaithai Party,3541
Trang,3,13,Prachachat Party,2879
Trang,3,1,Thai Liberal Party,2158
Trang,3,20,New Economics Party,1267
Trang,3,10,New Democracy Party,998
Trang,3,12,New Alternative Party,894
Trang,3,16,Puea Chat party,754
Trang,3,3,Pheu Tham ,670
Trang,3,29,Democratic Force party,567
Trang,3,8,New Palangdharma Party,533
Trang,3,7,People's Reform,509
Trang,3,33,Chart Thai Pattana,483
Trang,3,31,Kwam Wang Mai,460
Trang,3,26,Khlong Thai,350
Trang,3,35,Thai Network Party,326
Trang,3,22,Green,321
Trang,3,30,Palang Thai Sang Chart,311
Trang,3,4,Chart Pattana,302
Trang,3,18,Action Coalition for Thailand,301
Trang,3,37,Prachatham Thai,281
Trang,3,14,Prashaniyom,260
Trang,3,28,Palang Sungkom,224
Trang,3,25,Palang Chart Thai,211
Trang,3,36,Thai Rak Tham,191
Trang,3,34,Prachathai,161
Trang,3,19,Thai Forest Conservation Party,98
Trang,3,17,Tin Ga Kaw,92
Trang,3,23,Pandintham,81
Trang,3,24,Kru Thai,77
Trang,3,2,Thai Raksa Chart,0
Trang,3,15,Palang Thai Rak Thai,0
Trang,3,21,Thai People Power Party,0
Trang,3,32,Bhumphalang Kasettrakonthai,0
Trat,1,9,Future Forward Party,36744
Trat,1,3,Democrat Party,30642
Trat,1,4,Palang Pracharath Party,23417
Trat,1,7,Bhumjaithai Party,6310
Trat,1,12,Thai Liberal Party,5667
Trat,1,13,Action Coalition for Thailand,2861
Trat,1,2,Puea Chat party,2786
Trat,1,19,New Economics Party,1997
Trat,1,1,Chart Pattana,1433
Trat,1,10,Prachachat Party,1409
Trat,1,21,Prachatham Thai,548
Trat,1,5,Prashaniyom,513
Trat,1,15,Thai Forest Conservation Party,498
Trat,1,23,Farmer's Network,439
Trat,1,14,Thai Civilised,436
Trat,1,11,New Alternative Party,400
Trat,1,6,Thai Local Power Party,324
